signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal
HCC_3_vs_p-L_DOWN_FC_2,1.60720919965019e-07,0.557307281454294,254,1726,0.797394464136104,2.06923819479113,0.598606303997702,1.19511234105554,0.43301610965211,1.05028870921894,1.09744568072892,0.670494519326282,0.0624846536293538,1.77157975977867e-12,0.00514746354227955,0.242383955574541,1.98627849081464e-07,0.742344877704453,0.897129173397324,0.0470811765001096
MDA_p-Low_vs_p-LM2_UP_FC_2,1.38468080745998e-05,0.555190760058833,151,1829,0.656866241169234,2.13569717965489,0.613035136625919,1.26467966735603,0.437203492815003,1.01029210309096,1.18018636412749,0.703045340228414,0.00273325430393235,8.55750218247317e-14,0.00775455342249117,0.125436084731348,2.42847262016727e-07,0.944617274201522,0.817942638375745,0.0812331968991113
HCC_LM-H_vs_LM-L_UP_FC_0,6.06552939693691e-11,0.548510200117663,489,1491,0.858043677746397,2.08691752960212,0.61982558372613,1.27855559796945,0.453060749209649,1.03749717703244,1.20625285760371,0.737402305811127,0.146181443780722,7.11307355324194e-13,0.0109815110519442,0.116493121321238,3.14787053195153e-06,0.804187224722698,0.79508555422464,0.149783820185727
MDA_0_vs_proxy_parental_UP_FC_0,7.68955955439801e-08,0.546697563898924,244,1736,0.794937506206308,2.05681095477535,0.59287088797057,1.29360064963408,0.443517325223138,1.03058404498693,1.1747848673649,0.71685363261978,0.0626397998737358,3.09475689004602e-12,0.00426664612014022,0.100464279408022,6.5373310060758e-07,0.838419200034661,0.823007599960583,0.103749794575341
MDA_2_vs_proxy_parental_DOWN_FC_0,3.83273949925333e-12,0.546535378489384,694,1286,0.855338556881001,2.09031818841718,0.628189205033428,1.2672512243705,0.461058853912434,1.0420110819641,1.23927553985099,0.753020970362265,0.129443478012292,6.24314926633745e-13,0.0142336466557382,0.126142803656292,7.70425239442376e-06,0.782146269487324,0.766842826341451,0.186906389063387
MDA_13_vs_proxy_parental_DOWN_FC_0,3.05635423613898e-12,0.545883196422897,738,1242,0.79164096098971,2.06807474833782,0.644803546802198,1.2785473368891,0.474754575908744,1.07068689293311,1.3105595232175,0.786590958191234,0.0179701964575963,1.51757301588821e-12,0.0193239985873618,0.109899621848849,1.00623128964874e-05,0.647593269563272,0.708397107684545,0.25774313882477
MDA_9_vs_proxy_parental_UP_FC_0,7.76965255279731e-12,0.545687059927365,957,1023,0.830774639399407,2.06440519146352,0.619919451968617,1.2656732878815,0.458611355851151,1.01371004391747,1.26834078327171,0.756999719852832,0.0743399275865161,1.86304323159491e-12,0.0100980108087882,0.125960833189709,3.36109034469486e-06,0.92627983760494,0.74252608369948,0.188743939078969
MDA_Met-Like_parental_vs_rest_DOWN_FC_0,1.66735594371298e-07,0.545410587408838,227,1753,0.83812349503579,2.0785155664165,0.604507798282804,1.29177503486577,0.443374357395855,1.04602163295171,1.17401040895783,0.719580157646958,0.173153009109626,1.27668058760893e-12,0.00653127750294308,0.109013420630577,1.02607984614251e-06,0.763794046084329,0.823888141403458,0.113530682690733
MDA_8_vs_proxy_parental_DOWN_FC_0,6.89889796691825e-12,0.537534982846274,1037,943,0.786920662403678,2.04841319629541,0.611320872504595,1.26497498495387,0.467553951817299,1.03805754924261,1.24940830348723,0.769334897416735,0.0187454206129404,3.05644644758472e-12,0.00738085517258486,0.12496616020447,4.73679119401338e-06,0.800324916080071,0.757473330504241,0.209201184475941
MDA_8_vs_proxy_parental_UP_FC_0,3.22336861006102e-11,0.533430873092433,421,1559,0.815927684917656,2.06298978852002,0.623491368830249,1.30455577434095,0.459097176730458,1.04926695648885,1.22467993887875,0.750791861387147,0.0579798589089403,1.94894533628831e-12,0.0112749864657541,0.0907543620488964,3.4639009750744e-06,0.746205601982497,0.778777388754704,0.172565956462009
MDA_7_vs_proxy_parental_UP_FC_0,2.35414472518563e-10,0.532960304620585,359,1621,0.731466124688691,2.07947955218996,0.658845665094677,1.36834687071577,0.486650699874771,1.14041821219084,1.31651376795571,0.79395296267113,0.00499251473528013,9.62447934212305e-13,0.0267046718357704,0.0479324705052299,2.25007394985733e-05,0.395015956463692,0.703472859508041,0.273649887871788
HCC_7_vs_p-L_UP_FC_1,1.26617241056891e-12,0.531966824770131,555,1425,0.724160484078335,2.02190969563436,0.572026666821177,1.3303407945367,0.498338711987981,1.15712935501331,1.23229284136975,0.778536386374096,0.00226901076940166,8.45622347030497e-12,0.00222342563335119,0.0657194123981442,4.27740343303127e-05,0.343038317468941,0.771756664849578,0.226106041435669
MDA_p-Low_vs_p-LM2_UP_FC_0,9.80116534233348e-09,0.530849922978,257,1723,0.888795225139901,2.09516299660719,0.601563626170975,1.24026604046343,0.433053278313863,1.02193739397694,1.14496730089707,0.702149594210504,0.332118282038859,6.42299211487826e-13,0.00640661631855293,0.162260031142621,3.70034166807265e-07,0.883304657130755,0.850932087700662,0.0868462685637547
HCC_3_vs_p-L_UP_FC_0,3.84822583588808e-13,0.52649345333958,934,1046,0.814041942210869,2.06509939002012,0.635772353968986,1.25832139439205,0.464623326082218,1.00841516039223,1.28853479149635,0.774291322357483,0.0539587623006635,1.65199749836973e-12,0.0160798516639674,0.134143417198173,5.5315248340176e-06,0.954616143525394,0.726198797002166,0.23251095939469
MDA_1_vs_proxy_parental_DOWN_FC_0,5.47514002186502e-14,0.520860240395381,804,1176,0.797850534454431,2.06810486097454,0.642594189951264,1.29085580583913,0.47907417100051,1.02656243250618,1.30794681253345,0.791846977435064,0.0315403305444882,1.34463884739791e-12,0.0187923699007961,0.0991578310668066,1.90981939042719e-05,0.858898215981372,0.710711723525298,0.278758123234427
MDA_1_vs_proxy_parental_UP_FC_1,0.000313145676607366,0.518919368611931,75,1905,0.659240840511005,2.08918075161091,0.548875540627794,1.22388187066946,0.427633410893316,1.03553020924502,1.12939934133522,0.680318341195416,0.0332386021028719,6.29976063579525e-13,0.00118773405723513,0.185086537642224,1.11794168171299e-07,0.813851160494991,0.865674644249131,0.0559192297172138
MDA_4_vs_proxy_parental_DOWN_FC_0,2.31086233183713e-11,0.517050661162178,357,1623,0.817626912498757,2.07896989499918,0.635172966791767,1.32531243080043,0.466415919816148,1.06569777090891,1.23434406099443,0.757331429148029,0.080789952537173,9.21944052596762e-13,0.0168621928108197,0.0798470201358641,1.02401098479478e-05,0.672485880820335,0.770696346766706,0.192536353470802
MDA_p-Low_vs_p-LM2_DOWN_FC_2,9.22363606785999e-09,0.51505228390549,220,1760,0.665021108824637,2.05282344663703,0.618127027957434,1.34086028298166,0.470716882374562,1.16150250069733,1.27089709096531,0.725142499389707,0.00159987350218913,2.5830703854828e-12,0.00886108605901693,0.0604468981729739,4.99721607598233e-06,0.336834596659398,0.739542548338453,0.113687671239069
